"";"spol";"regija";"leto";"kriterij";"umrli"
"270";"M";"LJ";"2011";"povprecna.starost.umrlega";72
"271";"M";"LJ";"2012";"umrli.na.1000.prebivalcev";7,8
"272";"M";"LJ";"2012";"umrli.dojencki.na.1000.zivorojenih";0,9
"273";"M";"LJ";"2012";"povprecna.starost.umrlega";72,5
"274";"M";"LJ";"2013";"umrli.na.1000.prebivalcev";7,7
"275";"M";"LJ";"2013";"umrli.dojencki.na.1000.zivorojenih";3,9
"276";"M";"LJ";"2013";"povprecna.starost.umrlega";72,5
"277";"M";"LJ";"2014";"umrli.na.1000.prebivalcev";7,5
"278";"M";"LJ";"2014";"umrli.dojencki.na.1000.zivorojenih";0,3
"279";"M";"LJ";"2014";"povprecna.starost.umrlega";74
"280";"M";"LJ";"2015";"umrli.na.1000.prebivalcev";8
"281";"M";"LJ";"2015";"umrli.dojencki.na.1000.zivorojenih";2
"282";"M";"LJ";"2015";"povprecna.starost.umrlega";73,2
"283";"M";"LJ";"2016";"umrli.na.1000.prebivalcev";7,6
"284";"M";"LJ";"2016";"umrli.dojencki.na.1000.zivorojenih";3,2
"285";"M";"LJ";"2016";"povprecna.starost.umrlega";74,1
"286";"M";"LJ";"2017";"umrli.na.1000.prebivalcev";8,2
"287";"M";"LJ";"2017";"umrli.dojencki.na.1000.zivorojenih";1,7
"288";"M";"LJ";"2017";"povprecna.starost.umrlega";74,4
"289";"M";"LJ";"2018";"umrli.na.1000.prebivalcev";8,2
"290";"M";"LJ";"2018";"umrli.dojencki.na.1000.zivorojenih";1,8
"291";"M";"LJ";"2018";"povprecna.starost.umrlega";75,1
"292";"M";"LJ";"2019";"umrli.na.1000.prebivalcev";8
"293";"M";"LJ";"2019";"umrli.dojencki.na.1000.zivorojenih";1,4
"294";"M";"LJ";"2019";"povprecna.starost.umrlega";74,8
"295";"M";"LJ";"2020";"umrli.na.1000.prebivalcev";9,5
"296";"M";"LJ";"2020";"umrli.dojencki.na.1000.zivorojenih";1,4
