"";"leto";"spol";"starostne.skupine";"izobrazba";"stevilo.umrlih.izobrazba";"stan";"stevilo.umrlih.stan"
"373";2010;"Z";"30-34";"OS";"2";"vdovec/vdova";0
"374";2010;"Z";"30-34";"OS";"2";"razvezan/a";0
"375";2010;"Z";"30-34";"OS";"2";"porocen/a";8
"376";2010;"Z";"30-34";"OS";"2";"samski/a";22
"377";2010;"Z";"30-34";"SS";"15";"vdovec/vdova";0
"378";2010;"Z";"30-34";"SS";"15";"razvezan/a";0
"379";2010;"Z";"30-34";"SS";"15";"porocen/a";8
"380";2010;"Z";"30-34";"SS";"15";"samski/a";22
"381";2010;"Z";"30-34";"VS";"12";"vdovec/vdova";0
"382";2010;"Z";"30-34";"VS";"12";"razvezan/a";0
"383";2010;"Z";"30-34";"VS";"12";"porocen/a";8
"384";2010;"Z";"30-34";"VS";"12";"samski/a";22
"385";2010;"Z";"30-34";"neznano";"0";"vdovec/vdova";0
"386";2010;"Z";"30-34";"neznano";"0";"razvezan/a";0
"387";2010;"Z";"30-34";"neznano";"0";"porocen/a";8
"388";2010;"Z";"30-34";"neznano";"0";"samski/a";22
"389";2010;"Z";"35-39";"brez";"5";"razvezan/a";1
"390";2010;"Z";"35-39";"brez";"5";"porocen/a";15
"391";2010;"Z";"35-39";"brez";"5";"samski/a";23
"392";2010;"Z";"35-39";"brez";"5";"vdovec/vdova";0
"393";2010;"Z";"35-39";"OS";"9";"razvezan/a";1
"394";2010;"Z";"35-39";"OS";"9";"porocen/a";15
"395";2010;"Z";"35-39";"OS";"9";"samski/a";23
"396";2010;"Z";"35-39";"OS";"9";"vdovec/vdova";0
"397";2010;"Z";"35-39";"SS";"21";"razvezan/a";1
"398";2010;"Z";"35-39";"SS";"21";"porocen/a";15
"399";2010;"Z";"35-39";"SS";"21";"samski/a";23
"400";2010;"Z";"35-39";"SS";"21";"vdovec/vdova";0
"401";2010;"Z";"35-39";"VS";"4";"razvezan/a";1
"402";2010;"Z";"35-39";"VS";"4";"porocen/a";15
"403";2010;"Z";"35-39";"VS";"4";"samski/a";23
"404";2010;"Z";"35-39";"VS";"4";"vdovec/vdova";0
"405";2010;"Z";"35-39";"neznano";"0";"razvezan/a";1
"406";2010;"Z";"35-39";"neznano";"0";"porocen/a";15
"407";2010;"Z";"35-39";"neznano";"0";"samski/a";23
"408";2010;"Z";"35-39";"neznano";"0";"vdovec/vdova";0
"409";2010;"Z";"40-44";"brez";"0";"razvezan/a";6
"410";2010;"Z";"40-44";"brez";"0";"porocen/a";35
"411";2010;"Z";"40-44";"brez";"0";"vdovec/vdova";5
"412";2010;"Z";"40-44";"brez";"0";"samski/a";26
"413";2010;"Z";"40-44";"OS";"18";"razvezan/a";6
"414";2010;"Z";"40-44";"OS";"18";"porocen/a";35
"415";2010;"Z";"40-44";"OS";"18";"vdovec/vdova";5
"416";2010;"Z";"40-44";"OS";"18";"samski/a";26
"417";2010;"Z";"40-44";"SS";"36";"razvezan/a";6
"418";2010;"Z";"40-44";"SS";"36";"porocen/a";35
"419";2010;"Z";"40-44";"SS";"36";"vdovec/vdova";5
"420";2010;"Z";"40-44";"SS";"36";"samski/a";26
"421";2010;"Z";"40-44";"VS";"15";"razvezan/a";6
"422";2010;"Z";"40-44";"VS";"15";"porocen/a";35
"423";2010;"Z";"40-44";"VS";"15";"vdovec/vdova";5
"424";2010;"Z";"40-44";"VS";"15";"samski/a";26
"425";2010;"Z";"40-44";"neznano";"3";"razvezan/a";6
"426";2010;"Z";"40-44";"neznano";"3";"porocen/a";35
"427";2010;"Z";"40-44";"neznano";"3";"vdovec/vdova";5
"428";2010;"Z";"40-44";"neznano";"3";"samski/a";26
"429";2010;"Z";"45-49";"brez";"10";"samski/a";26
"430";2010;"Z";"45-49";"brez";"10";"porocen/a";70
"431";2010;"Z";"45-49";"brez";"10";"razvezan/a";16
"432";2010;"Z";"45-49";"brez";"10";"vdovec/vdova";8
"433";2010;"Z";"45-49";"OS";"45";"samski/a";26
"434";2010;"Z";"45-49";"OS";"45";"porocen/a";70
"435";2010;"Z";"45-49";"OS";"45";"razvezan/a";16
"436";2010;"Z";"45-49";"OS";"45";"vdovec/vdova";8
"437";2010;"Z";"45-49";"SS";"53";"samski/a";26
"438";2010;"Z";"45-49";"SS";"53";"porocen/a";70
