"";"obcina";"leto";"spol";"stevilo.umrlih"
"437";"Cerkno";"2013";"M";25
"438";"Cerkno";"2013";"Z";17
"439";"Cerkno";"2014";"M";19
"440";"Cerkno";"2014";"Z";14
"441";"Cerkno";"2015";"M";24
"442";"Cerkno";"2015";"Z";12
"443";"Cerkno";"2016";"M";15
"444";"Cerkno";"2016";"Z";19
"445";"Cerkno";"2017";"M";17
"446";"Cerkno";"2017";"Z";12
"447";"Cerkno";"2018";"M";27
"448";"Cerkno";"2018";"Z";22
"449";"Cerkno";"2019";"M";14
"450";"Cerkno";"2019";"Z";14
"451";"Cerkno";"2020";"M";20
"452";"Cerkno";"2020";"Z";17
"453";"Cerkvenjak";"2010";"M";16
"454";"Cerkvenjak";"2010";"Z";17
"455";"Cerkvenjak";"2011";"M";11
"456";"Cerkvenjak";"2011";"Z";10
"457";"Cerkvenjak";"2012";"M";15
"458";"Cerkvenjak";"2012";"Z";11
"459";"Cerkvenjak";"2013";"M";13
"460";"Cerkvenjak";"2013";"Z";16
"461";"Cerkvenjak";"2014";"M";13
"462";"Cerkvenjak";"2014";"Z";13
"463";"Cerkvenjak";"2015";"M";8
"464";"Cerkvenjak";"2015";"Z";13
"465";"Cerkvenjak";"2016";"M";9
"466";"Cerkvenjak";"2016";"Z";5
"467";"Cerkvenjak";"2017";"M";14
"468";"Cerkvenjak";"2017";"Z";10
"469";"Cerkvenjak";"2018";"M";9
"470";"Cerkvenjak";"2018";"Z";8
"471";"Cerkvenjak";"2019";"M";8
"472";"Cerkvenjak";"2019";"Z";12
"473";"Cerkvenjak";"2020";"M";11
"474";"Cerkvenjak";"2020";"Z";12
"475";"Cirkulane";"2010";"M";9
"476";"Cirkulane";"2010";"Z";12
"477";"Cirkulane";"2011";"M";13
"478";"Cirkulane";"2011";"Z";12
"479";"Cirkulane";"2012";"M";13
"480";"Cirkulane";"2012";"Z";16
"481";"Cirkulane";"2013";"M";8
"482";"Cirkulane";"2013";"Z";14
"483";"Cirkulane";"2014";"M";10
"484";"Cirkulane";"2014";"Z";16
"485";"Cirkulane";"2015";"M";11
"486";"Cirkulane";"2015";"Z";11
"487";"Cirkulane";"2016";"M";14
"488";"Cirkulane";"2016";"Z";8
"489";"Cirkulane";"2017";"M";13
"490";"Cirkulane";"2017";"Z";19
"491";"Cirkulane";"2018";"M";12
"492";"Cirkulane";"2018";"Z";11
"493";"Cirkulane";"2019";"M";9
"494";"Cirkulane";"2019";"Z";10
"495";"Cirkulane";"2020";"M";14
"496";"Cirkulane";"2020";"Z";18
"497";"Črenšovci";"2010";"M";20
"498";"Črenšovci";"2010";"Z";24
"499";"Črenšovci";"2011";"M";25
"500";"Črenšovci";"2011";"Z";20
"501";"Črenšovci";"2012";"M";28
"502";"Črenšovci";"2012";"Z";21
"503";"Črenšovci";"2013";"M";25
"504";"Črenšovci";"2013";"Z";18
"505";"Črenšovci";"2014";"M";26
"506";"Črenšovci";"2014";"Z";19
"507";"Črenšovci";"2015";"M";18
"508";"Črenšovci";"2015";"Z";23
"509";"Črenšovci";"2016";"M";19
"510";"Črenšovci";"2016";"Z";13
"511";"Črenšovci";"2017";"M";17
"512";"Črenšovci";"2017";"Z";20
"513";"Črenšovci";"2018";"M";11
"514";"Črenšovci";"2018";"Z";13
"515";"Črenšovci";"2019";"M";11
"516";"Črenšovci";"2019";"Z";19
"517";"Črenšovci";"2020";"M";30
"518";"Črenšovci";"2020";"Z";17
"519";"Črna na Koroškem";"2010";"M";22
"520";"Črna na Koroškem";"2010";"Z";9
"521";"Črna na Koroškem";"2011";"M";23
"522";"Črna na Koroškem";"2011";"Z";14
"523";"Črna na Koroškem";"2012";"M";21
"524";"Črna na Koroškem";"2012";"Z";19
"525";"Črna na Koroškem";"2013";"M";16
"526";"Črna na Koroškem";"2013";"Z";15
"527";"Črna na Koroškem";"2014";"M";16
"528";"Črna na Koroškem";"2014";"Z";18
"529";"Črna na Koroškem";"2015";"M";22
"530";"Črna na Koroškem";"2015";"Z";10
"531";"Črna na Koroškem";"2016";"M";22
"532";"Črna na Koroškem";"2016";"Z";22
"533";"Črna na Koroškem";"2017";"M";21
"534";"Črna na Koroškem";"2017";"Z";6
"535";"Črna na Koroškem";"2018";"M";14
"536";"Črna na Koroškem";"2018";"Z";16
"537";"Črna na Koroškem";"2019";"M";26
"538";"Črna na Koroškem";"2019";"Z";18
"539";"Črna na Koroškem";"2020";"M";25
"540";"Črna na Koroškem";"2020";"Z";9
"541";"Črnomelj";"2010";"M";61
"542";"Črnomelj";"2010";"Z";75
"543";"Črnomelj";"2011";"M";80
"544";"Črnomelj";"2011";"Z";75
"545";"Črnomelj";"2012";"M";70
"546";"Črnomelj";"2012";"Z";78
"547";"Črnomelj";"2013";"M";76
"548";"Črnomelj";"2013";"Z";85
"549";"Črnomelj";"2014";"M";78
"550";"Črnomelj";"2014";"Z";89
"551";"Črnomelj";"2015";"M";88
"552";"Črnomelj";"2015";"Z";91
"553";"Črnomelj";"2016";"M";86
"554";"Črnomelj";"2016";"Z";86
"555";"Črnomelj";"2017";"M";95
"556";"Črnomelj";"2017";"Z";106
"557";"Črnomelj";"2018";"M";98
"558";"Črnomelj";"2018";"Z";120
"559";"Črnomelj";"2019";"M";90
"560";"Črnomelj";"2019";"Z";88
"561";"Črnomelj";"2020";"M";93
"562";"Črnomelj";"2020";"Z";116
"563";"Destrnik";"2010";"M";8
"564";"Destrnik";"2010";"Z";11
"565";"Destrnik";"2011";"M";21
"566";"Destrnik";"2011";"Z";7
"567";"Destrnik";"2012";"M";14
"568";"Destrnik";"2012";"Z";12
"569";"Destrnik";"2013";"M";14
"570";"Destrnik";"2013";"Z";12
"571";"Destrnik";"2014";"M";12
"572";"Destrnik";"2014";"Z";15
"573";"Destrnik";"2015";"M";7
"574";"Destrnik";"2015";"Z";15
"575";"Destrnik";"2016";"M";16
"576";"Destrnik";"2016";"Z";7
"577";"Destrnik";"2017";"M";11
"578";"Destrnik";"2017";"Z";7
"579";"Destrnik";"2018";"M";17
"580";"Destrnik";"2018";"Z";13
"581";"Destrnik";"2019";"M";10
"582";"Destrnik";"2019";"Z";14
"583";"Destrnik";"2020";"M";15
"584";"Destrnik";"2020";"Z";10
"585";"Divača";"2010";"M";20
"586";"Divača";"2010";"Z";17
"587";"Divača";"2011";"M";20
"588";"Divača";"2011";"Z";13
"589";"Divača";"2012";"M";16
"590";"Divača";"2012";"Z";18
"591";"Divača";"2013";"M";22
"592";"Divača";"2013";"Z";8
"593";"Divača";"2014";"M";16
"594";"Divača";"2014";"Z";15
"595";"Divača";"2015";"M";21
"596";"Divača";"2015";"Z";13
"597";"Divača";"2016";"M";16
"598";"Divača";"2016";"Z";13
"599";"Divača";"2017";"M";21
"600";"Divača";"2017";"Z";17
"601";"Divača";"2018";"M";27
"602";"Divača";"2018";"Z";12
"603";"Divača";"2019";"M";19
"604";"Divača";"2019";"Z";17
"605";"Divača";"2020";"M";17
"606";"Divača";"2020";"Z";19
"607";"Dobje";"2010";"M";3
"608";"Dobje";"2010";"Z";3
"609";"Dobje";"2011";"M";3
"610";"Dobje";"2011";"Z";6
"611";"Dobje";"2012";"M";6
"612";"Dobje";"2012";"Z";7
"613";"Dobje";"2013";"M";5
"614";"Dobje";"2013";"Z";6
"615";"Dobje";"2014";"M";2
"616";"Dobje";"2014";"Z";3
"617";"Dobje";"2015";"M";4
"618";"Dobje";"2015";"Z";4
"619";"Dobje";"2016";"M";7
"620";"Dobje";"2016";"Z";6
"621";"Dobje";"2017";"M";12
"622";"Dobje";"2017";"Z";3
"623";"Dobje";"2018";"M";4
"624";"Dobje";"2018";"Z";9
"625";"Dobje";"2019";"M";2
"626";"Dobje";"2019";"Z";3
"627";"Dobje";"2020";"M";4
"628";"Dobje";"2020";"Z";6
"629";"Dobrepolje";"2010";"M";23
"630";"Dobrepolje";"2010";"Z";30
"631";"Dobrepolje";"2011";"M";20
"632";"Dobrepolje";"2011";"Z";34
"633";"Dobrepolje";"2012";"M";32
"634";"Dobrepolje";"2012";"Z";27
"635";"Dobrepolje";"2013";"M";27
"636";"Dobrepolje";"2013";"Z";25
"637";"Dobrepolje";"2014";"M";25
"638";"Dobrepolje";"2014";"Z";24
"639";"Dobrepolje";"2015";"M";24
"640";"Dobrepolje";"2015";"Z";35
"641";"Dobrepolje";"2016";"M";17
"642";"Dobrepolje";"2016";"Z";31
"643";"Dobrepolje";"2017";"M";25
"644";"Dobrepolje";"2017";"Z";27
"645";"Dobrepolje";"2018";"M";26
"646";"Dobrepolje";"2018";"Z";36
"647";"Dobrepolje";"2019";"M";28
"648";"Dobrepolje";"2019";"Z";36
"649";"Dobrepolje";"2020";"M";37
"650";"Dobrepolje";"2020";"Z";30
"651";"Dobrna";"2010";"M";13
"652";"Dobrna";"2010";"Z";10
"653";"Dobrna";"2011";"M";10
"654";"Dobrna";"2011";"Z";11
"655";"Dobrna";"2012";"M";10
"656";"Dobrna";"2012";"Z";5
"657";"Dobrna";"2013";"M";13
"658";"Dobrna";"2013";"Z";8
"659";"Dobrna";"2014";"M";12
"660";"Dobrna";"2014";"Z";10
"661";"Dobrna";"2015";"M";10
"662";"Dobrna";"2015";"Z";10
"663";"Dobrna";"2016";"M";12
"664";"Dobrna";"2016";"Z";8
"665";"Dobrna";"2017";"M";9
