"";"drzava";"leto";"umrli";"vrednost.bdp"
"343";"NOR";2012;"10.2";"65349.216157"
"344";"NOR";2013;"10.8";"66956.285962"
"345";"NOR";2014;"10.5";"65895.667611"
"346";"NOR";2015;"11.1";"60352.716908"
"347";"NOR";2016;"11.6";"58923.240139"
"348";"NOR";2017;"ni.podatka";"64050.366694"
"349";"NOR";2018;"ni.podatka";"69709.381608"
"350";"NOR";2019;"ni.podatka";"68343.740792"
"351";"NZL";2010;"12.4";"31152.554881"
"352";"NZL";2011;"11.3";"32638.103325"
"353";"NZL";2012;"12.5";"32916.91304"
"354";"NZL";2013;"11.8";"36084.865782"
"355";"NZL";2014;"11.5";"37084.794142"
"356";"NZL";2015;"11.7";"37246.951138"
"357";"NZL";2016;"12";"39719.042939"
"358";"NZL";2017;"ni.podatka";"42074.660571"
"359";"NZL";2018;"ni.podatka";"43738.114648"
"360";"NZL";2019;"ni.podatka";"44612.279404"
"361";"OECD";2010;"ni.podatka";"34552.691217"
"362";"OECD";2011;"ni.podatka";"35919.590139"
"363";"OECD";2012;"ni.podatka";"36880.873701"
"364";"OECD";2013;"ni.podatka";"38229.248208"
"365";"OECD";2014;"ni.podatka";"39342.260395"
"366";"OECD";2015;"ni.podatka";"40467.817726"
"367";"OECD";2016;"ni.podatka";"41885.947931"
"368";"OECD";2017;"ni.podatka";"43486.53051"
"369";"OECD";2018;"ni.podatka";"45216.544301"
"370";"OECD";2019;"ni.podatka";"46505.368389"
"371";"POL";2010;"15.9";"20828.986526"
"372";"POL";2011;"15.3";"22553.514215"
"373";"POL";2012;"15.8";"23455.560312"
"374";"POL";2013;"15.5";"24272.842559"
"375";"POL";2014;"14.8";"25162.875509"
"376";"POL";2015;"13.5";"26534.723216"
"377";"POL";2016;"11.6";"27985.340009"
"378";"POL";2017;"11.1";"29714.590984"
"379";"POL";2018;"11.1";"31613.688164"
"380";"POL";2019;"ni.podatka";"33858.276341"
"381";"PRT";2010;"9.3";"27282.766346"
"382";"PRT";2011;"8.6";"26769.42769"
"383";"PRT";2012;"9";"26438.140472"
"384";"PRT";2013;"8.7";"27936.006299"
"385";"PRT";2014;"10.2";"28742.313125"
"386";"PRT";2015;"9.3";"29660.845901"
"387";"PRT";2016;"8.1";"31607.610185"
"388";"PRT";2017;"8.8";"33044.70015"
"389";"PRT";2018;"8.2";"34931.85988"
"390";"PRT";2019;"ni.podatka";"36945.039955"
"391";"ROU";2010;"ni.podatka";"16989.279852"
"392";"ROU";2011;"ni.podatka";"17896.080991"
"393";"ROU";2012;"ni.podatka";"18867.513229"
"394";"ROU";2013;"ni.podatka";"19777.022952"
"395";"ROU";2014;"ni.podatka";"20649.982263"
"396";"ROU";2015;"ni.podatka";"21598.558302"
"397";"ROU";2016;"ni.podatka";"24266.283962"
"398";"ROU";2017;"ni.podatka";"27136.07319"
"399";"ROU";2018;"ni.podatka";"29244.574126"
