"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"238";"M";"35-39";2014;"padci";0
"239";"M";"35-39";2014;"druge.nezgode";10
"240";"M";"35-39";2014;"samomori";25
"241";"M";"35-39";2015;"transportne.nezgode";5
"242";"M";"35-39";2015;"padci";2
"243";"M";"35-39";2015;"druge.nezgode";19
"244";"M";"35-39";2015;"samomori";23
"245";"M";"35-39";2016;"transportne.nezgode";10
"246";"M";"35-39";2016;"padci";1
"247";"M";"35-39";2016;"druge.nezgode";12
"248";"M";"35-39";2016;"samomori";27
"249";"M";"35-39";2017;"transportne.nezgode";3
"250";"M";"35-39";2017;"padci";1
"251";"M";"35-39";2017;"druge.nezgode";13
"252";"M";"35-39";2017;"samomori";17
"253";"M";"35-39";2018;"transportne.nezgode";2
"254";"M";"35-39";2018;"padci";3
"255";"M";"35-39";2018;"druge.nezgode";13
"256";"M";"35-39";2018;"samomori";18
"257";"M";"35-39";2019;"transportne.nezgode";6
"258";"M";"35-39";2019;"padci";2
"259";"M";"35-39";2019;"druge.nezgode";13
"260";"M";"35-39";2019;"samomori";13
"261";"M";"35-39";2020;"transportne.nezgode";10
"262";"M";"35-39";2020;"padci";3
"263";"M";"35-39";2020;"druge.nezgode";6
"264";"M";"35-39";2020;"samomori";21
"265";"M";"40-44";2010;"transportne.nezgode";11
"266";"M";"40-44";2010;"padci";4
"267";"M";"40-44";2010;"druge.nezgode";15
"268";"M";"40-44";2010;"samomori";26
"269";"M";"40-44";2011;"transportne.nezgode";13
"270";"M";"40-44";2011;"padci";5
"271";"M";"40-44";2011;"druge.nezgode";17
"272";"M";"40-44";2011;"samomori";32
"273";"M";"40-44";2012;"transportne.nezgode";7
"274";"M";"40-44";2012;"padci";3
"275";"M";"40-44";2012;"druge.nezgode";7
"276";"M";"40-44";2012;"samomori";33
"277";"M";"40-44";2013;"transportne.nezgode";8
"278";"M";"40-44";2013;"padci";6
"279";"M";"40-44";2013;"druge.nezgode";7
"280";"M";"40-44";2013;"samomori";25
"281";"M";"40-44";2014;"transportne.nezgode";12
"282";"M";"40-44";2014;"padci";2
"283";"M";"40-44";2014;"druge.nezgode";6
"284";"M";"40-44";2014;"samomori";21
"285";"M";"40-44";2015;"transportne.nezgode";7
"286";"M";"40-44";2015;"padci";4
"287";"M";"40-44";2015;"druge.nezgode";13
"288";"M";"40-44";2015;"samomori";29
"289";"M";"40-44";2016;"transportne.nezgode";6
"290";"M";"40-44";2016;"padci";6
"291";"M";"40-44";2016;"druge.nezgode";16
"292";"M";"40-44";2016;"samomori";15
"293";"M";"40-44";2017;"transportne.nezgode";4
"294";"M";"40-44";2017;"padci";1
"295";"M";"40-44";2017;"druge.nezgode";15
"296";"M";"40-44";2017;"samomori";16
"297";"M";"40-44";2018;"transportne.nezgode";6
"298";"M";"40-44";2018;"padci";3
"299";"M";"40-44";2018;"druge.nezgode";16
"300";"M";"40-44";2018;"samomori";17
"301";"M";"40-44";2019;"transportne.nezgode";11
"302";"M";"40-44";2019;"padci";1
"303";"M";"40-44";2019;"druge.nezgode";6
"304";"M";"40-44";2019;"samomori";21
"305";"M";"40-44";2020;"transportne.nezgode";3
"306";"M";"40-44";2020;"padci";3
"307";"M";"40-44";2020;"druge.nezgode";16
"308";"M";"40-44";2020;"samomori";29
"309";"M";"45-49";2010;"transportne.nezgode";10
"310";"M";"45-49";2010;"padci";13
"311";"M";"45-49";2010;"druge.nezgode";19
"312";"M";"45-49";2010;"samomori";40
"313";"M";"45-49";2011;"transportne.nezgode";13
"314";"M";"45-49";2011;"padci";3
"315";"M";"45-49";2011;"druge.nezgode";17
"316";"M";"45-49";2011;"samomori";31
"317";"M";"45-49";2012;"transportne.nezgode";9
"318";"M";"45-49";2012;"padci";5
"319";"M";"45-49";2012;"druge.nezgode";16
"320";"M";"45-49";2012;"samomori";43
"321";"M";"45-49";2013;"transportne.nezgode";8
"322";"M";"45-49";2013;"padci";1
"323";"M";"45-49";2013;"druge.nezgode";10
"324";"M";"45-49";2013;"samomori";34
"325";"M";"45-49";2014;"transportne.nezgode";10
"326";"M";"45-49";2014;"padci";5
"327";"M";"45-49";2014;"druge.nezgode";12
"328";"M";"45-49";2014;"samomori";29
"329";"M";"45-49";2015;"transportne.nezgode";10
"330";"M";"45-49";2015;"padci";4
"331";"M";"45-49";2015;"druge.nezgode";18
"332";"M";"45-49";2015;"samomori";22
"333";"M";"45-49";2016;"transportne.nezgode";9
"334";"M";"45-49";2016;"padci";1
"335";"M";"45-49";2016;"druge.nezgode";10
"336";"M";"45-49";2016;"samomori";25
"337";"M";"45-49";2017;"transportne.nezgode";6
"338";"M";"45-49";2017;"padci";4
"339";"M";"45-49";2017;"druge.nezgode";15
"340";"M";"45-49";2017;"samomori";19
"341";"M";"45-49";2018;"transportne.nezgode";5
"342";"M";"45-49";2018;"padci";3
"343";"M";"45-49";2018;"druge.nezgode";11
"344";"M";"45-49";2018;"samomori";20
"345";"M";"45-49";2019;"transportne.nezgode";7
"346";"M";"45-49";2019;"padci";2
"347";"M";"45-49";2019;"druge.nezgode";12
"348";"M";"45-49";2019;"samomori";21
"349";"M";"45-49";2020;"transportne.nezgode";6
"350";"M";"45-49";2020;"padci";4
"351";"M";"45-49";2020;"druge.nezgode";9
"352";"M";"45-49";2020;"samomori";16
"353";"M";"50-54";2010;"transportne.nezgode";12
"354";"M";"50-54";2010;"padci";7
"355";"M";"50-54";2010;"druge.nezgode";33
"356";"M";"50-54";2010;"samomori";35
"357";"M";"50-54";2011;"transportne.nezgode";11
"358";"M";"50-54";2011;"padci";14
"359";"M";"50-54";2011;"druge.nezgode";30
"360";"M";"50-54";2011;"samomori";33
"361";"M";"50-54";2012;"transportne.nezgode";12
"362";"M";"50-54";2012;"padci";10
"363";"M";"50-54";2012;"druge.nezgode";30
"364";"M";"50-54";2012;"samomori";41
"365";"M";"50-54";2013;"transportne.nezgode";9
"366";"M";"50-54";2013;"padci";7
"367";"M";"50-54";2013;"druge.nezgode";18
"368";"M";"50-54";2013;"samomori";45
"369";"M";"50-54";2014;"transportne.nezgode";4
"370";"M";"50-54";2014;"padci";6
"371";"M";"50-54";2014;"druge.nezgode";16
"372";"M";"50-54";2014;"samomori";39
"373";"M";"50-54";2015;"transportne.nezgode";13
"374";"M";"50-54";2015;"padci";7
"375";"M";"50-54";2015;"druge.nezgode";20
"376";"M";"50-54";2015;"samomori";32
"377";"M";"50-54";2016;"transportne.nezgode";5
"378";"M";"50-54";2016;"padci";5
"379";"M";"50-54";2016;"druge.nezgode";18
"380";"M";"50-54";2016;"samomori";36
"381";"M";"50-54";2017;"transportne.nezgode";11
"382";"M";"50-54";2017;"padci";10
"383";"M";"50-54";2017;"druge.nezgode";11
"384";"M";"50-54";2017;"samomori";43
"385";"M";"50-54";2018;"transportne.nezgode";8
"386";"M";"50-54";2018;"padci";6
"387";"M";"50-54";2018;"druge.nezgode";21
"388";"M";"50-54";2018;"samomori";29
"389";"M";"50-54";2019;"transportne.nezgode";10
"390";"M";"50-54";2019;"padci";3
"391";"M";"50-54";2019;"druge.nezgode";11
"392";"M";"50-54";2019;"samomori";31
"393";"M";"50-54";2020;"transportne.nezgode";7
"394";"M";"50-54";2020;"padci";8
"395";"M";"50-54";2020;"druge.nezgode";14
"396";"M";"50-54";2020;"samomori";22
"397";"M";"55-59";2010;"transportne.nezgode";10
"398";"M";"55-59";2010;"padci";16
